,time,Total Solar Generation,Total Wind Generation,Natural Gas Generation,Discharging rate,Charging rate,Demand,Battery State of Charge,wind_gen_var_1277,wind_gen_var_154,wind_gen_var_1700,wind_gen_var_1737,wind_gen_var_1804point5,wind_gen_var_1804,wind_gen_var_2048,wind_gen_var_209,wind_gen_var_249,wind_gen_var_263,wind_gen_var_356,wind_gen_var_523,wind_gen_var_530,wind_gen_var_622,wind_gen_var_739,solar_capacity_var_92,solar_capacity_var_177,solar_capacity_var_110,solar_capacity_var_94,solar_capacity_var_214,solar_capacity_var_38,solar_capacity_var_21,solar_capacity_var_112,solar_capacity_var_107,solar_capacity_var_213,solar_gen_var_107,solar_gen_var_110,solar_gen_var_112,solar_gen_var_177,solar_gen_var_21,solar_gen_var_213,solar_gen_var_214,solar_gen_var_38,solar_gen_var_92,solar_gen_var_94,Non Natural Gas Demand
20,20.0,0.0,4701.354581350867,0.0,0.0,0.0,2724.1855319999995,0.0,717.9623548387098,83.64187096774194,0.0,0.0,973.6732741935487,314.19130715731916,1148.6637419354838,115.08483870967743,0.0,142.42722580645162,205.46941935483875,298.26183870967753,289.80741935483866,0.0,412.1712903225807,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,21.0,0.0,4680.948513455411,0.0,0.0,0.0,2646.074592,0.0,709.0645483870966,83.72135483870967,0.0,0.0,972.916548387097,314.6869973263781,1150.5796129032258,114.30277419354846,0.0,142.52054838709677,201.35819354838713,292.5594516129032,290.95290322580644,0.0,408.2855806451613,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,22.0,0.0,4549.897177485648,0.0,0.0,0.0,2586.34303,0.0,687.5615161290322,81.52064516129033,0.0,0.0,947.0714516129032,306.64156458242235,1120.3881290322583,110.95877419354832,0.0,138.72825806451613,194.65161290322584,282.943,283.44741935483864,0.0,395.9848064516129,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,23.0,0.0,4337.872868881032,0.0,0.0,0.0,2501.984115,0.0,652.2586451612905,77.96870967741937,0.0,0.0,904.4037580645168,292.7622398487738,1072.4913548387096,105.58545161290324,0.0,132.65380645161295,184.18980645161292,267.77599999999995,271.2745161290323,0.0,376.50858064516115,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,0.0,0.0,1674.0450889999995,5430.0,0.0,0.0,7104.045088999999,0.0,247.28487096774185,27.287806451612894,0.0,0.0,319.9785967741936,104.41904061290276,442.43406451612896,38.27396774193548,0.0,46.559483870967746,86.152,113.79467741935483,95.00677419354841,0.0,152.85380645161285,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23564674323254417
25,1.0,0.0,1956.1821194239833,5020.198483576016,0.0,0.0,6976.380603,0.0,286.9542580645161,32.568516129032254,0.0,0.0,379.3524677419354,123.15994200462879,516.029935483871,44.975451612903235,0.0,55.442096774193566,97.67032258064513,130.48006451612906,113.8816129032258,0.0,175.66745161290328,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28040071646646997
26,2.0,0.0,2205.5002652030594,4661.49244679694,0.0,0.0,6866.992712,0.0,327.6122903225806,37.13883870967743,0.0,0.0,435.40838709677405,141.9961684288661,568.4851612903225,51.50164516129033,0.0,63.35754838709678,107.3741935483871,147.4522580645161,128.90967741935484,0.0,196.26409677419355,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3211741089150962
27,3.0,0.0,2424.1144622690013,4296.846595730998,0.0,0.0,6720.961057999999,0.0,363.450677419355,41.038516129032246,0.0,0.0,478.59996774193536,154.67439775287198,621.6670967741935,56.88845161290324,0.0,69.92406451612906,118.44464516129034,162.73735483870968,142.57,0.0,214.11929032258067,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36067973632782224
28,4.0,0.0,2554.4659661278897,4130.75700587211,0.0,0.0,6685.2229720000005,0.0,378.8570645161292,43.229290322580646,0.0,0.0,499.3808225806453,159.84101451498566,670.4227096774194,59.4234193548387,0.0,73.40245161290325,127.12645161290322,169.90751612903227,151.6996774193549,0.0,221.1755483870968,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3821063226801659
29,5.0,81.69832255000001,2556.164653141571,3956.067573308427,0.0,0.0,6593.930549,0.0,373.0899677419353,43.02064516129033,0.0,0.0,494.60762903225805,157.70573378673214,689.7796129032259,58.74922580645161,0.0,72.96129032258062,129.3428387096774,167.6468064516129,152.28096774193543,0.0,216.97993548387097,,,,,,,,,,,7.40025803,7.590000000000001,7.742451584,12.355742004000001,1.4645806350000001,14.800064523000001,14.89025803,2.6207741959999997,6.339096791999999,6.495096756,0.4000440945031817
30,6.0,379.523677183,2275.3838970068896,3682.335479810108,0.0,0.0,6337.243054,0.0,341.1237741935484,38.142322580645164,0.0,0.0,448.38914516129034,145.8663647488258,590.2864516129032,53.47029032258063,0.0,65.08825806451614,109.8087741935484,148.71758064516126,133.03,0.0,201.46093548387097,,,,,,,,,,,34.305580621000004,35.33483866,35.811096719999995,57.467903163,6.795193545,68.785258092,69.329096788,12.183290314,29.416258019999997,30.095161259999998,0.41893731257697975
31,7.0,597.570483845,2042.834553084588,4069.3437180704113,0.0,0.0,6709.748755,0.0,314.5951290322583,35.469677419354845,0.0,0.0,418.2365322580645,136.25760147168444,495.88025806451606,49.50603225806452,0.0,60.67664516129033,89.72348387096775,133.6518064516129,122.15645161290318,0.0,186.680935483871,,,,,,,,,,,54.086774197000004,55.70258067000001,56.549161312,90.212903163,10.674774201,108.210870954,108.93980642400001,19.22187098,46.492645188000004,47.479096756,0.393517720758471
32,8.0,709.843613088,2321.7536493575944,3809.0764235544057,0.0,0.0,6840.673686000001,0.0,337.95187096774197,41.038516129032246,0.0,0.0,459.0415161290322,141.88177838985249,619.0905806451615,54.036612903225794,0.0,68.95690322580647,111.38206451612905,151.87245161290318,146.79290322580644,0.0,189.7084516129032,,,,,,,,,,,64.344967773,66.22,67.319225792,106.959387171,12.667741926,128.439,129.21458072800002,22.86006451,55.324645188,56.494,0.4431723250664635
33,9.0,773.042806605,2641.1970883057356,3800.1168750892616,0.0,0.0,7214.356769999999,0.0,375.3556129032259,48.06290322580646,0.0,0.0,518.0661290322581,153.93086249928368,727.3703225806454,60.913387096774166,0.0,79.7738387096774,129.7562580645161,169.40138709677422,175.4129032258064,0.0,203.15348387096773,,,,,,,,,,,70.13332259100001,72.15645162000001,73.435870928,116.289,13.785483872999999,139.81732261500002,140.549677516,24.923096784000002,60.340129056,61.612451622,0.4732563142854852
